mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.0030043919881184897,0.001417932856569812,0.0,0.0,9,auto,64,"{'max_depth': 9, 'max_features': 'auto', 'n_estimators': 64}",,,,,,6
0.0019996960957845054,3.1649760805352336e-06,0.0,0.0,13,auto,70,"{'max_depth': 13, 'max_features': 'auto', 'n_estimators': 70}",,,,,,6
4.548436323801677,0.2920918896109426,0.04375290870666504,0.010780727518330745,9,sqrt,124,"{'max_depth': 9, 'max_features': 'sqrt', 'n_estimators': 124}",-7.968485222276413,-7.8435572951163905,-9.512232237555443,-8.441424918316082,0.7588908498365954,1
0.0030052661895751953,0.0008354264805851054,0.0,0.0,13,auto,149,"{'max_depth': 13, 'max_features': 'auto', 'n_estimators': 149}",,,,,,6
4.302107413609822,0.22632151375039178,0.06408969561258952,0.005746784761241709,10,log2,199,"{'max_depth': 10, 'max_features': 'log2', 'n_estimators': 199}",-8.446736037749108,-8.330531174024701,-9.971390767054151,-8.916219326275987,0.7476255612108255,5
1.127312421798706,0.050054757425484965,0.01777497927347819,0.000860963399969227,4,sqrt,87,"{'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 87}",-8.230394740056544,-8.124268758216209,-9.850996257661125,-8.735219918644626,0.7901617176406315,2
0.001003265380859375,3.907931916918515e-06,0.0,0.0,4,auto,107,"{'max_depth': 4, 'max_features': 'auto', 'n_estimators': 107}",,,,,,6
0.0010027090708414714,3.44162446888065e-05,0.0,0.0,14,auto,98,"{'max_depth': 14, 'max_features': 'auto', 'n_estimators': 98}",,,,,,6
2.4983064333597818,0.13272263775606716,0.03552563985188802,0.0011997622363837939,12,log2,100,"{'max_depth': 12, 'max_features': 'log2', 'n_estimators': 100}",-8.452101206701483,-8.28253574640888,-9.987144834126356,-8.907260595745575,0.7667248909304619,4
3.307421922683716,0.13387558346287207,0.046291748682657875,0.0004090564514307297,14,log2,113,"{'max_depth': 14, 'max_features': 'log2', 'n_estimators': 113}",-8.335545441974476,-8.283984734771444,-9.959245769113007,-8.859591981952976,0.7778575128061131,3
