mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
13.084328969319662,2.8221369199382993,0.026080926259358723,0.0008046610051203865,0.12236203565420874,7,64,"{'learning_rate': np.float64(0.12236203565420874), 'max_depth': 7, 'n_estimators': 64}",-5.211886189374836,-5.040364985745955,-5.999895322821876,-5.417382165980889,0.4178086198593916,4
12.614190498987833,1.92824834457809,0.019046703974405926,0.0008604441042168665,0.22959818254342154,7,70,"{'learning_rate': np.float64(0.22959818254342154), 'max_depth': 7, 'n_estimators': 70}",-5.189974808080182,-5.008892438392479,-5.960271270851978,-5.38637950577488,0.4124815346739043,3
20.920398871103924,3.352328036723608,0.037396748860677086,0.003313875065675063,0.05680559213273095,5,124,"{'learning_rate': np.float64(0.05680559213273095), 'max_depth': 5, 'n_estimators': 124}",-5.243659811545147,-5.080840163932808,-6.020081828860433,-5.4481939347794635,0.4098124627675664,7
26.928713083267212,4.626290600738484,0.04467240969340006,0.0031282846696361302,0.14777466758976016,7,149,"{'learning_rate': np.float64(0.14777466758976016), 'max_depth': 7, 'n_estimators': 149}",-5.160635100198219,-4.993351498244353,-5.9349783756827135,-5.362988324708429,0.4101832230283103,1
36.15261157353719,5.5599385608703225,0.061644792556762695,0.0028447885860939095,0.05286004537658223,5,199,"{'learning_rate': np.float64(0.05286004537658223), 'max_depth': 5, 'n_estimators': 199}",-5.231120102167885,-5.069714326776532,-6.000662672664071,-5.433832367202829,0.40618994118054713,5
15.514579931894938,1.53760691783858,0.03900392850240072,0.0029848214376861073,0.02692347370813008,6,87,"{'learning_rate': np.float64(0.02692347370813008), 'max_depth': 6, 'n_estimators': 87}",-5.269289496013057,-5.107813169187415,-6.125813459610782,-5.5009720416037515,0.446720456418443,8
14.516464233398438,1.3390869346452932,0.028610944747924805,0.002881896058572206,0.010233629752304298,6,70,"{'learning_rate': np.float64(0.010233629752304298), 'max_depth': 6, 'n_estimators': 70}",-6.1487899799235946,-6.02435030426535,-7.325153692323064,-6.499431325504003,0.5860798458221863,10
11.59232234954834,2.405189783798739,0.01324764887491862,0.0009744070846405193,0.19524445288831496,4,71,"{'learning_rate': np.float64(0.19524445288831496), 'max_depth': 4, 'n_estimators': 71}",-5.248951459076723,-5.083340431806867,-5.994842812360493,-5.4423782344146945,0.396458981066109,6
17.26888068517049,2.0935101775460665,0.01767309506734212,0.001241862796622683,0.012119891565915222,3,98,"{'learning_rate': np.float64(0.012119891565915222), 'max_depth': 3, 'n_estimators': 98}",-5.765373401660253,-5.646932934225323,-6.783589067794077,-6.065298467893218,0.5102045834832686,9
12.95404084523519,2.241723653460135,0.03792389233907064,0.008566017647838053,0.16743239807751675,9,64,"{'learning_rate': np.float64(0.16743239807751675), 'max_depth': 9, 'n_estimators': 64}",-5.183087419704086,-5.0127777245828895,-5.961156013581421,-5.385673719289467,0.41282462083045907,2
